"species","ID","video","time1","time2","done","EB comments","other comments","use","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_glass_4_2","00:00:32","00:00:34","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_glass_4_3","00:00:04","00:00:08","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_glass_4_3","00:00:53","00:00:57","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_glass_4_3","00:00:55","00:00:59","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_glass_4_3","00:02:04","00:02:06","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_glass_4_3","00:02:07","00:02:10","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_glass_4_3","00:02:13","00:02:16","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g150_5_1","00:00:44","00:00:47","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g150_5_1","00:01:02","00:01:06","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g150_5_1","00:01:17","00:01:20","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g150_5_1","00:01:32","00:01:35","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g150_5_1","00:01:48","00:01:51","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g150_5_1","00:02:04","00:02:07","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g150_5_2","00:00:02","00:00:05","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g150_5_2","00:02:09","00:02:12","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g150_5_2","00:02:12","00:02:15","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA48","CA48_g150_5_3","00:00:05","00:00:08","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA49","CA49_g24_1_1","00:00:16","00:00:20","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA49","CA49_g24_1_1","00:00:45","00:00:48","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA49","CA49_g24_1_1","00:01:28","00:01:31","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA49","CA49_g24_1_2","00:01:09","00:01:12","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA49","CA49_g24_1_2","00:01:53","00:01:56","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA49","CA49_g24_1_2","00:01:56","00:01:59","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA50","CA50_g60_1_1","00:00:03","00:00:07","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA50","CA50_g60_1_2","00:01:09","00:01:13","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_1","00:00:06","00:00:09","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_1","00:00:09","00:00:12","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_1","00:00:35","00:00:38","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_2","00:00:12","00:00:16","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_2","00:00:56","00:00:59","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_2","00:01:22","00:01:25","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_2","00:02:20","00:02:23","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_2","00:02:24","00:02:27","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_3","00:00:00","00:00:03","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_3","00:00:06","00:00:10","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_3","00:00:27","00:00:30","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_4","00:00:32","00:00:35","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_4","00:00:58","00:01:03","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g100_1_4","00:02:10","00:02:14","yes","","","","","","","","","","","","","","","","","","","",""
