,fly,treatment,trial,iteration,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP
21,CA58,glass,1_00-01-44,2,3.1732,0.0135638279835335,24.0,31.0,0.0291666666666666,0.0291666666666666,0.0583333333333333,0.5,1.488197683095996,0.0,2.004800125675464,32.23539726116303,"(1117.75, 648.25)","(1016.75, 668.0)",19.0,24.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.4119657489447948,0.0,1.2913509658209694,28.664732205425512,"(1093.0, 838.5)","(995.5, 833.25)",19.0,23.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,2.424497631720822,0.0,1.8654369243717168,28.664732205425512,"(967.25, 607.75)","(802.25, 637.5)",27.0,31.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.5078844029031049,0.0,1.5511894361604186,30.196869437081013,"(1058.25, 891.0)","(954.0, 893.25)",25.0,32.0,0.0291666666666666,0.0291666666666666,0.0583333333333333,0.5,1.8406951740457056,0.032335223028165,1.9155071991678392,31.498733303044137,"(926.0, 641.75)","(801.5, 668.25)",21.0,26.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,1.4400115016161312,0.0,1.5000633729719972,29.09523296202268,"(868.25, 853.75)","(776.0, 891.25)"
22,CA58,glass,1_00-01-44,2,3.1732,0.0135638279835335,38.0,44.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,2.004800125675464,0.0,1.6113237323998302,33.64481774246234,"(1254.25, 672.5)","(1117.75, 648.25)",33.0,37.0,0.0166666666666666,0.0291666666666666,0.0458333333333333,0.6363636363636365,1.2913509658209694,0.0,1.7407120054406056,31.418333751175386,"(1182.25, 841.5)","(1093.0, 838.5)",33.0,37.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.8654369243717168,0.0,1.9709638061171697,29.32090772559696,"(1096.25, 607.75)","(967.25, 607.75)",40.0,44.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.5511894361604186,0.0,1.6436386997792445,36.07745468691806,"(1164.5, 905.75)","(1058.25, 891.0)",39.0,45.0,0.025,0.0333333333333333,0.0583333333333333,0.5714285714285714,1.90293886420655,0.0435326262705299,1.3759862738682245,35.206837338034504,"(1058.25, 649.25)","(927.0, 639.75)",33.0,38.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.5000633729719972,0.0,1.6794600139088809,29.32090772559696,"(971.0, 839.5)","(868.25, 853.75)"
23,CA58,glass,1_00-01-44,2,3.1732,0.0135638279835335,51.0,,,,,,,,,,,"(1254.25, 672.5)",44.0,50.0,0.025,0.0333333333333333,0.0583333333333333,0.5714285714285714,1.7407120054406056,0.0,1.6324684813870571,34.9180812308715,"(1299.5, 868.75)","(1182.25, 841.5)",46.0,50.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.9709638061171697,0.0,1.3923167433557702,35.31903191568641,"(1232.25, 616.75)","(1096.25, 607.75)",53.0,,,,,,,,,,,"(1164.5, 905.75)",53.0,,,,,,,,,,,"(1056.25, 647.0)",46.0,51.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.6794600139088809,0.0664644197220435,1.4353388426975466,35.31903191568641,"(1086.75, 849.0)","(971.0, 839.5)"
24,CA58,glass,1_00-01-44,2,3.1732,0.0135638279835335,,,,,,,,,,,,,58.0,,,,,,,,,,,"(1299.5, 868.75)",59.0,,,,,,,,,,,"(1232.25, 616.75)",,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,"(1090.0, 852.25)"
25,CA58,glass,1_00-02-43,2,3.1732,0.0135638279835335,5.0,10.0,0.0208333333333333,0.0541666666666666,0.075,0.7222222222222223,1.3004837856258078,0.0,1.3953775128483423,19.89251378284831,"(1251.25, 457.75)","(1327.5, 504.25)",16.0,20.0,0.0166666666666666,0.0458333333333333,0.0625,0.7333333333333333,1.2547405060836248,0.0,1.419575525825593,24.8616469216442,"(1371.25, 309.5)","(1421.5, 379.5)",17.0,21.0,0.0166666666666666,0.05,0.0666666666666666,0.75,1.87651088849976,0.0,1.6268522983169291,23.42388639540553,"(1228.25, 517.25)","(1314.5, 613.0)",6.0,11.0,0.0208333333333333,0.0583333333333333,0.0791666666666666,0.736842105263158,2.1720605056376727,0.0,1.6897880597231292,20.72467976961428,"(1519.75, 395.75)","(1595.5, 524.25)",9.0,13.0,0.0166666666666666,0.0458333333333333,0.0625,0.7333333333333333,1.081927065808678,0.1323608653177291,2.1022260708993423,18.31618909911398,"(1381.25, 667.5)","(1439.0, 714.25)",12.0,18.0,0.025,0.0166666666666666,0.0416666666666666,0.4,1.658616718101155,0.0,0.3646902868416618,21.17982472440052,"(1533.5, 515.75)","(1625.25, 583.25)"
26,CA58,glass,1_00-02-43,2,3.1732,0.0135638279835335,23.0,28.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.3953775128483423,0.0,1.700517849237293,27.27044303496893,"(1202.5, 375.25)","(1251.25, 457.75)",31.0,36.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.419575525825593,0.007280712228393,1.3350729979419065,29.732614510575115,"(1317.0, 228.5)","(1371.25, 309.5)",33.0,37.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.6268522983169291,0.0,1.5388332587154967,30.754480405211037,"(1164.5, 425.5)","(1228.25, 517.25)",25.0,29.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.6897880597231292,0.0,1.5699054208036105,28.459080975334643,"(1452.75, 301.0)","(1519.75, 395.75)",24.0,30.0,0.025,0.0375,0.0625,0.6,1.9699170818264229,0.0,1.6408155593461096,28.24035617783844,"(1302.5, 546.5)","(1376.5, 659.75)",22.0,24.0,0.0083333333333333,0.0333333333333333,0.0416666666666666,0.8,0.3646902868416618,0.0,1.5856456881272103,26.04832004468604,"(1522.5, 493.25)","(1533.5, 515.75)"
27,CA58,glass,1_00-02-43,2,3.1732,0.0135638279835335,38.0,,,,,,,,,,,"(1202.5, 375.25)",45.0,,,,,,,,,,,"(1317.5, 228.5)",46.0,,,,,,,,,,,"(1164.5, 425.5)",39.0,,,,,,,,,,,"(1452.75, 301.0)",39.0,,,,,,,,,,,"(1302.5, 546.5)",32.0,37.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.5856456881272103,0.0,1.2940480338656446,31.26452949510637,"(1450.0, 412.0)","(1522.5, 493.25)"
28,CA58,glass,1_00-02-43,2,3.1732,0.0135638279835335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,"(1450.0, 412.0)"
29,CA58,glass,1_00-02-48,2,3.1732,0.0135638279835335,5.0,9.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.2339090072292602,0.0,1.253012633409918,26.024319278508848,"(824.5, 397.25)","(906.0, 419.75)",11.0,16.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.341789284500197,0.0,1.2812093935892537,25.03166650930481,"(807.5, 219.75)","(898.25, 234.5)",12.0,16.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,2.3209177382638377,0.0,1.4110448981559935,26.873597710066992,"(851.0, 461.25)","(1009.25, 477.0)",6.0,10.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.4652531768941095,0.0,1.781553480521726,25.64789808770596,"(956.25, 189.0)","(1056.5, 194.5)",5.0,10.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,1.8313381995465567,0.0657744708466441,1.7566056357691668,25.249139728863447,"(1043.25, 458.25)","(1164.25, 425.0)",11.0,17.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,1.563266770763569,0.0708412731222484,1.6782397953421129,25.03166650930481,"(1031.0, 251.25)","(1138.0, 246.25)"
30,CA58,glass,1_00-02-48,2,3.1732,0.0135638279835335,18.0,24.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,1.253012633409918,0.0,1.65953123986229,32.38126799229745,"(741.25, 376.25)","(824.5, 397.25)",24.0,29.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.2812093935892537,0.0,1.845530060979271,35.66625018193291,"(720.5, 208.0)","(807.5, 219.75)",26.0,30.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.4110448981559935,0.0,1.650159940462946,32.3459702175543,"(755.0, 449.75)","(851.0, 461.25)",19.0,23.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.781553480521726,0.0,1.3098358424901788,30.05166798435917,"(834.25, 184.75)","(956.25, 189.0)",17.0,24.0,0.0291666666666666,0.0375,0.0666666666666666,0.5625,1.757056471502621,0.0,1.5718944737620597,30.69748992872228,"(923.0, 453.0)","(1043.0, 462.75)",24.0,32.0,0.0333333333333333,0.0333333333333333,0.0666666666666666,0.5,1.7229937156687385,0.0,1.5157533242885597,31.786869400698578,"(916.25, 258.75)","(1033.75, 247.25)"
31,CA58,glass,1_00-02-48,2,3.1732,0.0135638279835335,31.0,36.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.65953123986229,0.0,2.09516370497753,33.128897723284915,"(628.0, 386.5)","(741.25, 376.25)",38.0,,,,,,,,,,,"(720.5, 208.0)",40.0,,,,,,,,,,,"(755.0, 449.75)",33.0,37.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.3098358424901788,0.0,1.3824583946322666,36.30020835021555,"(748.5, 158.25)","(834.25, 184.75)",33.0,39.0,0.025,0.025,0.05,0.5,1.5718944737620597,0.0,1.2149761385611315,36.30020835021555,"(818.0, 429.0)","(923.0, 453.0)",40.0,,,,,,,,,,,"(916.25, 258.75)"
32,CA58,glass,1_00-02-48,2,3.1732,0.0135638279835335,44.0,,,,,,,,,,,"(628.0, 386.5)",,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,"(748.5, 158.25)",45.0,,,,,,,,,,,"(818.0, 429.0)",,,,,,,,,,,,
33,CA60,glass,2_00-02-05,2,3.1511,0.0136862937242868,6.0,10.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,2.399777505805149,0.0,1.384250775582991,31.416229353252277,"(1185.75, 360.0)","(1026.5, 308.75)",0.0,4.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.5512406682637483,0.0,1.7693818527463734,43.05182428759118,"(1050.75, 508.25)","(962.5, 445.75)",0.0,4.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.6735006404542876,0.0,1.783372827220503,43.05182428759118,"(998.25, 276.0)","(886.5, 242.5)",5.0,11.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,2.0763103531347564,0.0,1.5805324385616146,31.127131325635396,"(1011.0, 535.5)","(871.75, 496.0)",3.0,15.0,0.05,0.0125,0.0625,0.2,2.088646229026754,0.0,1.2959804298106772,35.63813145844543,"(969.5, 259.75)","(824.0, 265.25)",1.0,6.0,0.0208333333333333,0.0125,0.0333333333333333,0.375,1.6182367496936276,0.0,1.6495951073658928,51.05034927882441,"(867.5, 411.75)","(755.5, 425.25)"
34,CA60,glass,2_00-02-05,2,3.1511,0.0136862937242868,18.0,22.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.384250775582991,0.0,1.4152323436405998,32.15424079087293,"(1281.5, 372.0)","(1185.75, 360.0)",12.0,16.0,0.0166666666666666,0.0291666666666666,0.0458333333333333,0.6363636363636365,1.7693818527463734,0.0,1.4592395839282275,25.355364873533397,"(1173.75, 517.5)","(1050.75, 508.25)",12.0,17.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,1.783372827220503,0.0,1.9186588593015477,26.53926800296571,"(1122.5, 271.75)","(998.25, 276.0)",18.0,22.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.5805324385616146,0.0548579749454483,1.5883165804118835,31.39047488909747,"(1120.75, 545.25)","(1011.0, 535.5)",18.0,26.0,0.0333333333333333,0.0125,0.0458333333333333,0.2727272727272727,1.2959804298106772,0.0,1.7918405800845123,32.9580477195749,"(1057.25, 281.25)","(969.5, 259.75)",9.0,18.0,0.0375,0.0208333333333333,0.0583333333333333,0.3571428571428571,1.6495951073658928,0.0,1.4292437899909425,28.04687493238617,"(975.5, 451.25)","(867.5, 411.75)"
35,CA60,glass,2_00-02-05,2,3.1511,0.0136862937242868,30.0,34.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.4152323436405998,0.0,1.5287048636793803,33.849002766207114,"(1377.5, 394.75)","(1281.5, 372.0)",23.0,27.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.4592395839282275,0.0,1.6431506042560775,34.18198052198211,"(1274.25, 533.25)","(1173.75, 517.5)",24.0,28.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.9186588593015477,0.0,1.7333263786070567,33.96977544352587,"(1254.75, 291.75)","(1122.5, 271.75)",31.0,34.0,0.0125,0.0375,0.05,0.7499999999999999,1.5632198893371216,0.0,1.854993690394372,34.76070338640898,"(1226.75, 577.25)","(1121.5, 549.0)",29.0,38.0,0.0375,0.025,0.0625,0.4,1.7918405800845123,0.1090693461088214,1.548900962445491,31.86918543495576,"(1178.75, 310.25)","(1057.25, 281.25)",23.0,31.0,0.0333333333333333,0.0208333333333333,0.0541666666666666,0.3846153846153846,1.4292437899909425,0.0,1.9069870378984544,34.18198052198211,"(1074.0, 466.25)","(975.5, 451.25)"
36,CA60,glass,2_00-02-05,2,3.1511,0.0136862937242868,43.0,47.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.5287048636793803,0.0,1.8664738803849892,34.29515178456307,"(1483.5, 383.75)","(1377.5, 394.75)",36.0,40.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.6431506042560775,0.0,1.8974270948516183,37.171202839503984,"(1385.0, 562.5)","(1274.25, 533.25)",38.0,41.0,0.0125,0.0416666666666666,0.0541666666666666,0.7692307692307692,1.7333263786070567,0.0,1.1664729628924242,33.15002258924938,"(1374.0, 311.25)","(1254.75, 291.75)",43.0,47.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.854993690394372,0.0,1.489369561395862,34.29515178456307,"(1355.25, 591.75)","(1226.75, 577.25)",44.0,54.0,0.0416666666666666,0.0125,0.0541666666666666,0.2307692307692307,1.5083875670909024,0.0,1.6917222233871807,34.16274004884276,"(1286.5, 317.25)","(1182.25, 303.5)",36.0,43.0,0.0291666666666666,0.0291666666666666,0.0583333333333333,0.5,1.9069870378984544,0.0,1.5501666673756052,35.45809022142136,"(1202.25, 501.25)","(1074.0, 466.25)"
37,CA60,glass,2_00-02-05,2,3.1511,0.0136862937242868,56.0,60.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.8664738803849892,0.0,2.0115358043103684,37.313902149874366,"(1608.75, 348.5)","(1483.5, 383.75)",49.0,53.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.8974270948516183,0.0,1.807465735834752,30.19417070294068,"(1517.25, 565.0)","(1385.0, 562.5)",51.0,54.0,0.0125,0.0375,0.05,0.7499999999999999,1.1664729628924242,0.0,1.975343694341788,37.71540976068094,"(1454.5, 299.75)","(1374.0, 311.25)",56.0,60.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.489369561395862,0.0,1.7787768281893357,37.313902149874366,"(1459.0, 587.75)","(1355.25, 591.75)",57.0,63.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,1.6917222233871807,0.107824153757905,1.5821110489319654,38.819518315434685,"(1401.0, 345.5)","(1286.5, 317.25)",50.0,56.0,0.025,0.0166666666666666,0.0416666666666666,0.4,1.5501666673756052,0.0,1.6286934499851105,30.531802162763952,"(1310.0, 509.5)","(1202.25, 501.25)"
